Gemeinde;Gemeindename;Wahlkreisnummer;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Direktstimmen ungueltige (C);Direktstimmen gueltige (D);D1;D2;D3;D4;D5;D6;D8;D9;D11;D12;D14;D15;D19;D20;D21;D22;D23;Listenstimmen ungueltige (E);Listenstimmen gueltige (F);F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;Column 57
120540000000;Potsdam, Stadt;61;1205400000001101;STIMMBEZIRK;Bornim 01;1101;1113;761;352;0;561;556;5;5;0;7;554;84;79;162;40;59;76;15;14;0;3;15;1;2;2;2;0;0;7;554;91;89;126;47;64;83;6;12;18;0;0;0;0;14;2;0;0;1;1;
120540000000;Potsdam, Stadt;61;1205400000001102;STIMMBEZIRK;Bornim 02;1102;1353;849;504;0;692;689;3;3;0;4;688;111;71;245;30;77;110;6;10;3;3;8;0;4;7;1;0;2;4;688;114;80;183;49;88;120;10;8;9;1;2;4;1;7;0;7;0;3;2;
120540000000;Potsdam, Stadt;61;1205400000001301;STIMMBEZIRK;Nedlitz, Bornstedt 01;1301;1082;632;450;0;498;493;5;5;0;4;494;63;30;114;53;51;144;13;4;0;3;7;3;5;1;1;0;2;3;495;66;37;87;52;64;136;17;12;1;0;0;0;0;7;1;3;4;2;6;
120540000000;Potsdam, Stadt;61;1205400000001302;STIMMBEZIRK;Bornstedt 02;1302;1136;697;439;0;551;549;2;2;0;6;545;53;57;189;58;65;84;9;7;0;2;9;2;4;5;1;0;0;7;544;55;60;160;67;64;87;16;4;8;1;0;2;0;7;2;3;2;1;5;
120540000000;Potsdam, Stadt;61;1205400000001303;STIMMBEZIRK;Bornstedt 03;1303;1150;686;464;0;585;579;6;6;0;2;583;95;47;175;31;42;155;4;4;0;2;17;1;2;5;2;0;1;4;581;105;51;138;43;50;154;5;3;4;0;0;4;0;20;0;3;0;0;1;
120540000000;Potsdam, Stadt;61;1205400000001304;STIMMBEZIRK;Bornstedt 04;1304;1246;717;529;0;576;573;3;3;0;3;573;102;45;191;27;50;122;10;5;1;0;15;1;2;0;2;0;0;4;572;101;55;145;43;72;117;8;5;4;0;1;0;0;14;0;1;2;0;4;
120540000000;Potsdam, Stadt;61;1205400000001306;STIMMBEZIRK;Bornstedt 06;1306;1018;598;420;0;562;562;0;0;0;4;558;93;27;163;28;63;148;10;6;0;4;9;0;3;3;0;0;1;4;558;93;34;120;47;76;156;5;4;7;0;0;2;0;7;0;2;0;2;3;
120540000000;Potsdam, Stadt;61;1205400000001309;STIMMBEZIRK;Bornstedt 09;1309;1892;1062;830;0;845;841;4;4;0;5;840;88;52;267;61;73;226;14;19;1;6;17;3;3;4;3;0;3;2;843;85;50;194;72;109;230;28;10;20;1;0;5;0;18;4;4;6;2;5;
120540000000;Potsdam, Stadt;61;1205400000001501;STIMMBEZIRK;Eiche 01;1501;1086;609;477;0;495;492;3;3;0;4;491;64;35;186;24;52;102;7;3;0;2;9;1;6;0;0;0;0;5;490;79;35;146;47;50;99;6;4;3;1;0;3;0;4;0;3;2;2;6;
120540000000;Potsdam, Stadt;61;1205400000001701;STIMMBEZIRK;Golm 01;1701;1601;972;629;0;775;769;6;6;0;4;771;129;72;223;67;49;183;12;8;0;5;7;4;6;4;1;0;1;4;771;96;92;180;82;78;174;18;9;8;2;0;5;1;9;2;3;3;1;8;
