Nr;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahlschein;Ungült. Stimmen;Gültige Stimmen;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;DIE LINKE;Alternative für Deutschland;BÜNDNIS 90/DIE GRÜNEN;Nationaldemokratische Partei Deutschlands;Freie Demokratische Partei;Familien-Partei Deutschlands;PARTEI MENSCH UMWELT TIERSCHUTZ;Piratenpartei Deutschland;FREIE WÄHLER;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Ab jetzt...Demokratie durch Volksabstimmung Politik für die;Deutsche Kommunistische Partei;Ökologisch-Demokratische Partei;Marxistisch-Leninistische Partei Deutschlands;Sozialistische Gleichheitspartei, Vierte Internationale;Bayernpartei;Aktion Partei für Tierschutz – DAS ORIGINAL;Allianz für Menschenrechte, Tier- und Naturschutz;Bündnis C - Christen für Deutschland;Bündnis für Innovation & Gerechtigkeit;Bündnis Grundeinkommen Die Grundeinkommenspartei;Demokratie DIREKT!;Demokratie in Europa - DiEM25;DER DRITTE WEG;Die Grauen – Für alle Generationen;DIE RECHTE – Partei für Volksabstimmung, Souveränität u;Die Violetten;Europäische Partei LIEBE;Feministische Partei DIE FRAUEN;Graue Panther;LKR Bernd Lucke und die Liberal-Konservativen Reformer;Menschliche Welt für das Wohl und Glücklichsein aller;Neue Liberale – Die Sozialliberalen;Ökologische Linke;Partei der Humanisten;PARTEI FÜR DIE TIERE DEUTSCHLAND;Partei für Gesundheitsforschung;Volt Deutschland
1302;Bornstedt - Fliederweg;945;208;1153;604;3;3;601;113;72;84;72;117;1;31;8;16;6;6;36;1;0;2;0;1;0;5;0;0;0;0;0;4;0;2;0;1;0;1;3;4;0;0;3;3;3;0;6
1309;Bornstedt - A.-Wolff-Platz/E.-Arendt-Str;1300;338;1638;821;2;7;814;106;105;96;59;247;2;49;13;17;10;13;46;1;0;4;1;0;1;1;0;0;0;2;0;7;1;0;1;1;1;0;2;1;0;2;6;3;0;2;14
1401;Sacrow;75;34;109;61;1;0;61;15;15;2;7;14;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1
1501;Eiche - Altes Rad Ost;791;276;1067;531;5;4;527;115;87;48;61;115;0;22;6;8;3;3;22;1;0;4;1;0;0;0;0;2;0;0;1;2;0;0;1;1;0;0;3;2;0;0;0;2;0;3;14
1504;Eiche - Am Tempelberg/Carl-Dähne-Str.;683;246;929;384;0;3;381;50;28;58;33;130;1;21;3;4;2;3;28;1;0;2;0;0;0;1;0;1;0;1;0;2;0;0;0;0;0;2;0;0;1;1;1;1;1;0;5
1601;Grube;274;58;332;184;0;4;180;30;30;16;34;40;0;9;3;5;1;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0
1701;Golm - Ehrenpfortenbergstr.;608;158;766;375;0;4;371;61;66;48;37;86;0;14;7;6;5;4;17;0;0;2;3;0;0;2;0;0;0;1;0;0;1;1;0;2;0;0;0;0;0;0;1;2;0;0;5
1703;Golm - Grasmückenring/An der Bahn;441;113;554;290;0;1;289;42;39;36;35;76;1;9;8;4;2;1;13;0;0;0;0;0;0;2;1;0;0;2;0;1;0;1;0;2;0;2;2;3;0;1;0;0;1;0;5
2102;Nauener Vorstadt - Neuer Garten;724;263;987;487;2;1;486;67;57;44;33;181;0;27;2;10;3;1;18;1;0;5;1;0;0;1;1;1;0;0;0;6;0;0;2;0;0;1;0;1;1;0;3;1;2;0;16
2103;Nauener Vorstadt - Russische Kolonie;677;238;915;499;0;2;497;67;67;58;30;161;0;36;1;10;3;2;24;1;2;8;0;0;2;3;0;0;0;0;0;7;0;0;0;0;1;0;1;1;0;0;4;0;2;1;5
