Nr;Wahlkreis;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahlschein;Ungült. Stimmzettel;Gültige Stimmen;DIE LINKE;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;BÜNDNIS 90/DIE GRÜNEN;DIE aNDERE;Bürgerbündnis freier Wähler e.V.;Alternative für Deutschland;Freie Demokratische Partei;Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler;Charnow;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2102;1;Nauener Vorstadt - Neuer Garten;782;268;1050;512;2;2;1526;133;208;195;486;164;63;99;126;14;0;38
2103;1;Nauener Vorstadt - Russische Kolonie;707;246;953;520;0;5;1538;211;198;199;409;205;65;57;138;17;0;39
2104;1;Nauener Vorstadt - Rote Kaserne/SAP;818;226;1044;533;2;5;1578;181;271;244;390;148;41;97;131;18;0;57
4103;1;Innenstadt - Hans-Thoma-Str./Türckstr.;874;286;1160;495;4;5;1469;266;211;103;427;267;29;43;81;13;0;29
4105;1;Innenstadt - Yorckstr.;1037;228;1265;632;6;10;1857;319;261;202;497;219;32;142;101;22;0;62
4107;1;Innenstadt - Burgstr.;1020;216;1236;531;0;4;1548;438;391;146;185;97;23;182;44;12;0;30
4206;1;Südliche Innenstadt - Leipziger Str.;344;135;479;225;0;2;666;46;86;187;154;31;16;59;66;3;0;18
4207;1;Südliche Innenstadt - Finkenweg;318;79;397;226;0;5;661;74;56;60;123;237;16;53;14;3;0;25
8601;1;Groß Glienicke - Glienicker Dorfstr.;582;104;686;303;0;6;880;89;149;217;174;13;23;92;71;35;0;17
8603;1;Groß Glienicke - Bergstr./Seepromenade;742;184;926;490;1;8;1414;164;222;291;292;47;26;109;107;124;0;32
9034;1;Potsdam Briefwahlbezirk 9034;0;0;0;541;541;3;1612;216;296;200;359;205;87;66;144;8;0;31
9035;1;Potsdam Briefwahlbezirk 9035;0;0;0;467;467;2;1381;182;235;132;373;196;33;74;99;5;0;52
9038;1;Potsdam Briefwahlbezirk 9038;0;0;0;567;567;0;1695;317;244;237;375;228;38;80;136;5;0;35
1102;2;Bornim - Ortslage/Hügelweg;1123;265;1388;735;2;8;2165;177;469;308;319;189;365;183;137;18;0;0
1301;2;Nedlitz, Bornstedt - Viereckremise;858;186;1044;512;0;6;1505;227;252;180;389;152;72;140;75;18;0;0
1303;2;Bornstedt - Am Krongut/Katharinenholzstr;899;284;1183;585;0;8;1722;159;365;267;433;183;62;124;116;13;0;0
1307;2;Bornstedt - Jakob-von-Gundling-Str.;960;276;1236;595;4;10;1739;295;347;249;331;194;68;168;69;18;0;0
1308;2;Bornstedt - Reiherweg/David-Gilly-Str.;811;228;1039;427;0;9;1250;117;243;206;284;150;27;155;64;4;0;0
1309;2;Bornstedt - A.-Wolff-Platz/E.-Arendt-Str;1431;339;1770;840;2;16;2459;337;402;303;596;396;87;145;172;21;0;0
8501;2;Neu Fahrland;972;318;1290;597;4;6;1760;212;206;219;254;65;447;267;77;13;0;0
9042;2;Potsdam Briefwahlbezirk 9042;0;0;0;512;512;3;1514;178;332;347;262;130;78;95;67;25;0;0
9044;2;Potsdam Briefwahlbezirk 9044;0;0;0;526;526;5;1561;143;306;311;349;195;54;82;105;16;0;0
9046;2;Potsdam Briefwahlbezirk 9046;0;0;0;510;510;2;1492;148;224;167;149;93;523;126;53;9;0;0
1502;3;Eiche - Kaiser-Friedrich-Str. Süd;674;167;841;347;0;5;1023;188;178;189;162;59;37;105;71;14;0;20
1504;3;Eiche - Am Tempelberg/Carl-Dähne-Str.;769;245;1014;394;0;3;1165;231;194;127;296;60;28;80;82;8;0;59
1701;3;Golm - Ehrenpfortenbergstr.;646;161;807;391;0;6;1151;169;207;220;230;83;56;99;43;17;0;27
3101;3;Brandenburger Vorstadt - Luisenplatz;979;243;1222;514;0;12;1500;306;362;168;308;122;28;119;32;10;0;45
3104;3;Brandenburger Vorstadt - Auf dem Kiewitt;1065;216;1281;610;0;11;1766;436;600;213;158;75;17;172;42;6;0;47
3107;3;Brandenburger Vorstadt - Schillerplatz;1019;218;1237;581;4;5;1712;290;431;195;245;184;33;208;44;16;0;66
3108;3;Brandenburger Vorstadt - Hans-Sachs-Str.;942;224;1166;702;0;2;2098;309;294;173;570;489;28;109;41;17;0;68
9052;3;Potsdam Briefwahlbezirk 9052;0;0;0;490;490;4;1419;286;283;180;265;227;17;83;38;5;0;35
9054;3;Potsdam Briefwahlbezirk 9054;0;0;0;648;648;5;1925;412;324;238;408;306;26;101;69;4;0;37
5205;4;Babelsberg Nord - Weberplatz/Alt Nowawes;1003;242;1245;712;5;4;2110;287;397;184;484;462;44;133;54;11;0;54
5302;4;Babelsberg Süd - H-v-Kleist-Str./Wattstr;935;257;1192;597;3;5;1771;385;291;153;381;327;50;70;50;14;0;50
5303;4;Babelsberg Süd - Benzstr./Pestalozzistr.;966;195;1161;610;2;4;1808;348;371;190;306;259;60;128;75;16;0;55
5305;4;Babelsberg Süd - Dianastr./Sandscholle;1062;252;1314;612;6;12;1796;372;367;174;335;177;42;206;53;17;0;53
5308;4;Babelsberg Süd - Schulstr./Fultonstr.;993;243;1236;690;6;4;2058;285;362;165;543;386;61;87;74;20;0;75
5309;4;Babelsberg Süd - Walter-Klausch-Str.;620;155;775;422;2;5;1248;175;236;150;260;202;47;55;35;32;0;56
9057;4;Potsdam Briefwahlbezirk 9057;0;0;0;476;476;4;1414;142;265;261;318;113;101;98;94;6;0;16
9060;4;Potsdam Briefwahlbezirk 9060;0;0;0;413;413;3;1229;136;293;139;300;199;26;49;41;9;0;37
9062;4;Potsdam Briefwahlbezirk 9062;0;0;0;714;714;2;2106;408;467;207;466;180;65;147;79;42;0;45
6201;5;Teltower Vorstadt - Kolonie Daheim;1009;268;1277;649;3;11;1910;351;406;142;446;284;47;140;78;16;0;0
6202;5;Teltower Vorstadt - Kunersdorfer Str.;860;229;1089;555;3;8;1635;275;434;170;243;225;35;183;59;11;0;0
6301;5;Schlaatz - Sperberhorst;838;127;965;328;0;6;959;244;190;61;132;94;20;174;27;17;0;0
6403;5;Waldstadt I - Bernhard-Kellermann-Str.;930;183;1113;475;0;9;1376;280;345;188;136;101;67;191;49;19;0;0
6505;5;Waldstadt II - Am Springbruch;1014;136;1150;418;0;13;1205;265;212;102;131;117;43;262;50;23;0;0
6506;5;Waldstadt II - Liefelds Grund;830;106;936;311;2;7;895;301;153;68;87;70;44;147;12;13;0;0
6507;5;Waldstadt II - Moosglöckchenweg;900;118;1018;442;0;9;1286;354;194;91;161;137;29;262;36;22;0;0
9065;5;Potsdam Briefwahlbezirk 9065;0;0;0;343;343;11;989;250;234;64;121;75;57;148;25;15;0;0
9067;5;Potsdam Briefwahlbezirk 9067;0;0;0;418;418;4;1224;276;309;155;139;95;56;124;43;27;0;0
7106;6;Stern - Johannes-Kepler-Platz/Chopinstr.;955;183;1138;431;0;8;1268;546;221;129;121;33;29;143;35;8;3;0
7107;6;Stern - Laplacering;740;120;860;302;0;12;862;276;185;82;73;27;18;173;23;0;5;0
7111;6;Stern - Jagdhausstr./Eulenkamp;884;163;1047;477;1;11;1395;492;269;128;160;51;24;208;47;9;7;0
1401;1;Sacrow;83;34;117;65;1;1;191;17;44;48;40;4;5;21;9;3;0;0
7113;6;Stern - Kohlhasenbrücker Str.;727;170;897;387;0;7;1121;268;210;125;145;88;67;136;69;7;6;0
4101;1;Innenstadt - Schopenhauerstr./Jägerallee;989;278;1267;630;0;6;1852;208;328;198;536;257;30;95;130;15;0;55
7201;6;Drewitz - Alt Drewitz/Am Silbergraben;893;156;1049;488;2;6;1437;272;278;208;162;67;87;250;94;16;3;0
4104;1;Innenstadt - Wall am Kiez/Luisenplatz;795;222;1017;491;1;4;1452;200;256;115;394;196;44;86;92;18;0;51
7302;6;Kirchsteigfeld - Priesterweg;943;111;1054;398;1;6;1167;322;229;97;129;73;46;201;45;14;11;0
4108;1;Innenstadt - Brandenburger Str. Nord;987;244;1231;650;0;4;1938;268;276;193;549;251;53;123;121;12;0;92
9070;6;Potsdam Briefwahlbezirk 9070;0;0;0;584;584;7;1681;505;318;267;222;80;48;149;75;10;7;0
8602;1;Groß Glienicke - Bullenwinkel/Braumannwe;851;244;1095;552;3;7;1615;166;232;364;383;40;49;141;85;124;0;31
9072;6;Potsdam Briefwahlbezirk 9072;0;0;0;811;811;8;2404;925;470;240;228;138;82;207;80;10;24;0
9031;1;Potsdam Briefwahlbezirk 9031;0;0;0;513;513;5;1523;153;252;259;359;97;48;72;241;20;0;22
9032;1;Potsdam Briefwahlbezirk 9032;0;0;0;445;445;5;1312;131;258;195;332;108;31;94;119;12;0;32
9033;1;Potsdam Briefwahlbezirk 9033;0;0;0;535;535;1;1597;115;247;349;363;90;59;88;270;10;0;6
9036;1;Potsdam Briefwahlbezirk 9036;0;0;0;615;615;2;1839;423;359;210;394;181;41;114;74;15;0;28
