Gemeinde;Gemeindename;Wahlkreisnummer;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Stimmen ungueltige (C);Stimmen gueltige (D);D1;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D1_13;D1_14;D2;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;D2_12;D2_13;D2_14;D3;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;D3_9;D3_10;D3_11;D3_12;D3_13;D3_14;D4;D4_1;D4_2;D4_3;D4_4;D4_5;D4_6;D4_7;D4_8;D4_9;D4_10;D4_11;D4_12;D4_13;D4_14;D5;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D5_10;D5_11;D5_12;D5_13;D5_14;D6;D6_1;D6_2;D6_3;D6_4;D7;D7_1;D7_2;D7_3;D7_4;D7_5;D7_6;D7_7;D7_8;D7_9;D7_10;D7_11;D7_12;D7_13;D7_14;D8;D8_1;D8_2;D9;D9_1;D9_2;D9_3;D9_4;D9_5;D9_6;D9_7;D9_8;D10;D10_1;D10_2;D10_3;D10_4;D10_5;D10_6;D10_7;D10_8;D11;D11_1;D11_2;D11_3;D11_4;D11_5;D12;D12_1;D12_2;D13;D13_1;Column 149
54;Potsdam, Stadt;5401;1205400000002102;STIMMBEZIRK;Nauener Vorstadt 02;2102;;;N;1042;703;339;0;484;483;1;1;0;13;1400;233;109;47;9;9;4;6;8;2;5;9;9;3;6;7;347;136;65;30;12;23;8;17;2;2;20;2;16;14;0;92;34;11;10;1;3;7;6;4;3;6;2;0;2;3;182;88;18;6;12;9;2;4;7;12;2;1;2;13;6;170;47;16;25;8;16;12;1;16;8;3;6;0;2;10;121;65;56;;;83;41;11;1;11;1;1;4;1;1;4;1;5;1;0;34;34;;26;8;4;1;4;1;3;0;5;24;10;3;7;4;;;;;22;13;2;7;;;32;32;;34;34;
54;Potsdam, Stadt;5401;1205400000004101;STIMMBEZIRK;Historische Innenstadt 01;4101;;;N;1202;862;340;0;593;593;0;0;0;9;1737;320;151;63;16;19;11;14;8;3;10;2;3;1;8;11;337;135;32;44;10;22;4;21;3;10;21;3;21;5;6;139;50;16;11;8;14;4;2;9;6;2;4;0;12;1;252;99;26;11;26;15;6;6;5;15;5;7;5;21;5;247;27;26;16;5;24;36;2;35;13;31;5;6;4;17;131;85;46;;;82;34;10;9;6;0;0;15;2;0;2;0;2;2;0;39;39;;40;17;7;7;3;1;0;4;1;60;29;16;7;8;;;;;14;12;1;1;;;58;58;;18;18;
54;Potsdam, Stadt;5401;1205400000004104;STIMMBEZIRK;Historische Innenstadt 04;4104;;;N;988;698;290;0;462;459;3;3;0;13;1337;160;62;29;8;9;4;3;13;4;2;2;5;2;9;8;195;53;33;17;13;15;3;11;2;5;13;3;20;5;2;172;50;16;22;17;9;14;11;7;7;5;5;1;3;5;162;63;17;4;9;8;7;2;8;12;6;5;7;13;1;182;39;22;12;9;25;16;0;18;12;9;4;1;4;11;180;106;74;;;56;28;13;2;2;0;2;5;0;0;1;1;1;1;0;51;51;;29;12;6;1;0;2;1;1;6;31;19;1;7;4;;;;;13;11;1;1;;;81;81;;25;25;
54;Potsdam, Stadt;5401;1205400000004106;STIMMBEZIRK;Historische Innenstadt 06;4106;;;N;939;682;257;0;447;443;4;4;0;6;1319;193;83;27;13;18;9;3;6;1;8;4;5;0;7;9;220;62;34;24;13;14;6;7;5;5;16;1;31;2;0;128;30;13;9;5;13;23;7;2;4;5;5;7;1;4;208;89;32;5;11;14;7;3;8;7;14;3;1;8;6;128;17;8;10;10;23;7;1;21;16;3;2;3;1;6;169;120;49;;;66;18;16;2;2;2;1;2;3;3;7;5;0;3;2;43;43;;27;4;3;3;8;1;1;5;2;42;25;4;7;6;;;;;20;16;2;2;;;63;63;;12;12;
54;Potsdam, Stadt;5401;1205400000004109;STIMMBEZIRK;Historische Innenstadt 09;4109;;;N;1247;942;305;0;574;571;3;3;0;16;1658;347;132;61;9;20;16;29;5;4;14;7;14;7;10;19;214;57;26;30;12;16;3;14;3;6;22;2;18;4;1;184;62;19;12;10;13;17;8;12;4;9;6;6;3;3;195;80;16;9;19;8;10;5;5;10;6;9;2;12;4;172;26;13;15;14;17;14;2;15;13;8;12;7;4;12;199;127;72;;;91;35;26;3;4;0;4;3;2;1;2;0;3;3;5;48;48;;40;25;1;3;3;3;0;2;3;73;31;17;17;8;;;;;25;18;4;3;;;59;59;;11;11;
54;Potsdam, Stadt;5401;1205400000008602;STIMMBEZIRK;Groß Glienicke 02;8602;;;N;1130;830;300;0;631;628;3;3;0;8;1855;286;97;55;8;17;17;4;13;7;5;42;5;3;3;10;353;119;33;35;10;14;52;11;2;9;12;2;24;28;2;93;29;10;6;3;5;4;6;8;4;8;0;6;1;3;523;147;30;129;56;86;9;2;12;12;5;1;2;22;10;67;22;6;7;4;3;3;6;2;3;3;2;1;2;3;185;108;77;;;140;57;25;8;17;2;1;4;5;3;4;8;4;1;1;24;24;;103;57;16;3;12;9;3;0;3;20;11;0;8;1;;;;;20;17;2;1;;;38;38;;3;3;
54;Potsdam, Stadt;5401;1205400000009003;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9003;9003;;;N;0;0;0;0;731;0;731;0;0;1;2188;346;149;51;11;19;12;18;20;11;9;12;7;6;4;17;447;114;73;47;21;41;13;22;7;9;30;6;50;13;1;88;31;7;6;13;0;4;5;8;1;2;4;0;3;4;615;288;82;20;44;28;6;8;23;47;13;6;6;36;8;142;20;16;6;4;25;33;1;10;6;5;7;0;2;7;130;75;55;;;221;105;31;12;31;2;2;7;16;2;4;4;3;2;0;20;20;;30;13;8;3;3;1;0;1;1;22;8;4;3;7;;;;;51;42;6;3;;;33;33;;43;43;
54;Potsdam, Stadt;5401;1205400000009007;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9007;9007;;;N;0;0;0;0;461;0;461;0;0;4;1350;254;86;57;6;17;17;6;10;4;12;9;3;2;17;8;263;77;36;25;14;16;6;12;6;3;14;4;27;20;3;154;32;4;5;14;4;13;11;3;7;9;3;34;9;6;189;74;26;13;6;16;9;6;6;9;4;1;4;13;2;176;41;12;6;5;25;15;6;30;13;4;9;3;1;6;94;46;48;;;62;37;5;0;3;1;4;4;0;1;1;2;0;4;0;23;23;;30;11;3;3;2;2;1;3;5;26;7;2;5;12;;;;;22;17;3;2;;;45;45;;12;12;
54;Potsdam, Stadt;5401;1205400000009011;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9011;9011;;;N;0;0;0;0;425;0;425;0;0;2;1255;172;64;24;2;11;6;3;6;2;3;35;3;2;4;7;220;45;35;27;9;7;30;6;1;3;11;2;23;21;0;41;11;3;4;2;6;2;5;1;2;0;1;2;1;1;356;108;21;47;52;78;5;1;0;18;4;4;3;13;2;33;5;2;7;0;4;3;0;5;4;1;0;1;0;1;107;62;45;;;71;31;11;3;18;3;0;2;0;1;0;1;1;0;0;28;28;;154;95;4;4;21;8;11;0;11;25;6;10;3;6;;;;;13;13;0;0;;;29;29;;6;6;
54;Potsdam, Stadt;5402;1205400000001101;STIMMBEZIRK;Bornim 01;1101;;;N;1155;895;260;0;608;600;8;8;0;8;1789;410;116;44;192;7;2;5;3;8;10;9;8;0;1;5;150;49;23;14;14;6;5;2;6;9;4;7;2;7;2;113;45;14;4;5;11;8;8;7;4;6;1;;;;327;113;22;24;15;55;5;12;14;15;7;15;14;7;9;97;17;4;12;12;8;3;6;4;7;13;0;0;5;6;385;273;112;;;66;13;11;8;1;6;1;7;5;2;6;2;1;0;3;43;43;;92;59;19;7;2;5;;;;72;35;15;6;16;;;;;34;20;5;6;3;;;;;;;
54;Potsdam, Stadt;5402;1205400000001306;STIMMBEZIRK;Bornstedt 06;1306;;;N;1166;830;336;0;712;711;1;1;0;7;2105;479;220;92;65;28;5;11;4;15;4;6;16;5;3;5;396;142;70;41;39;8;13;12;7;17;1;14;11;15;6;126;57;17;6;17;11;6;2;2;3;3;2;;;;487;121;48;58;114;28;21;4;4;9;36;8;13;2;21;162;61;17;16;9;6;5;7;0;12;5;10;1;8;5;151;119;32;;;95;17;16;9;14;0;3;10;0;2;0;5;8;3;8;43;43;;74;43;18;5;4;4;;;;38;11;10;8;9;;;;;54;10;9;25;10;;;;;;;
54;Potsdam, Stadt;5401;1205400000001401;STIMMBEZIRK;Sacrow 01;1401;;;N;114;72;42;0;63;63;0;0;0;0;188;47;18;9;5;5;2;0;0;0;3;0;1;0;0;4;32;12;0;3;1;8;1;2;0;2;1;0;1;1;0;14;6;1;1;1;0;4;0;0;0;1;0;0;0;0;39;11;10;1;0;5;1;0;2;3;0;1;2;3;0;11;1;2;3;0;1;1;0;0;1;1;0;0;0;1;19;10;9;;;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;;1;1;0;0;0;0;0;0;0;7;3;1;0;3;;;;;6;4;1;1;;;7;7;;0;0;
54;Potsdam, Stadt;5402;1205400000002201;STIMMBEZIRK;Jägervorstadt 01;2201;;;N;1208;848;360;0;610;608;2;2;0;3;1810;332;141;45;69;15;6;15;5;7;4;2;14;4;0;5;371;102;71;45;28;9;17;12;8;15;0;25;12;19;8;155;62;17;16;11;10;15;4;0;16;2;2;;;;347;84;43;28;24;53;22;14;13;18;19;3;13;2;11;145;57;12;10;7;8;11;9;3;6;10;1;0;8;3;226;173;53;;;96;37;19;15;3;0;3;4;2;0;1;2;5;0;5;39;39;;26;12;7;3;2;2;;;;59;26;16;5;12;;;;;14;1;4;6;3;;;;;;;
54;Potsdam, Stadt;5401;1205400000002103;STIMMBEZIRK;Nauener Vorstadt 03;2103;;;N;960;671;289;0;516;512;4;4;0;11;1505;211;93;42;12;13;8;4;7;5;6;1;5;2;9;4;316;121;63;27;8;23;4;15;5;8;24;1;10;7;0;132;36;13;11;12;8;11;9;2;3;9;2;3;5;8;228;120;24;13;10;6;4;1;14;10;4;6;5;10;1;215;37;32;12;4;24;16;4;19;17;8;21;4;4;13;126;71;55;;;84;32;17;5;4;1;1;8;0;0;2;2;0;4;8;33;33;;25;10;4;1;5;2;0;2;1;36;21;5;0;10;;;;;26;22;3;1;;;51;51;;22;22;
54;Potsdam, Stadt;5402;1205400000008402;STIMMBEZIRK;Fahrland 02;8402;;;N;1215;922;293;0;576;573;3;3;0;19;1656;292;100;31;79;6;10;12;4;7;10;3;11;2;4;13;146;26;19;11;17;2;15;23;3;7;1;7;7;7;1;146;94;8;9;2;9;15;1;1;3;3;1;;;;305;84;17;19;5;47;24;23;13;9;27;12;15;4;6;58;20;4;7;3;5;3;4;1;3;2;1;0;3;2;453;212;241;;;86;21;15;5;4;3;1;16;2;4;5;4;2;0;4;27;27;;68;36;17;6;2;7;;;;45;18;11;3;13;;;;;30;6;4;11;9;;;;;;;
54;Potsdam, Stadt;5401;1205400000002104;STIMMBEZIRK;Nauener Vorstadt 04;2104;;;N;1267;986;281;0;721;719;2;2;0;12;2110;307;127;52;40;9;18;3;18;2;2;1;10;6;5;14;397;109;56;45;25;32;9;15;3;9;42;3;27;19;3;129;28;8;10;11;13;12;9;8;3;11;4;1;9;2;469;239;47;12;24;17;15;4;13;28;15;8;8;37;2;170;25;11;12;4;33;19;3;17;12;6;3;1;8;16;180;102;78;;;214;97;35;12;12;5;1;17;3;5;6;4;8;7;2;40;40;;48;27;12;3;0;1;0;2;3;26;15;6;2;3;;;;;58;48;5;5;;;58;58;;14;14;
54;Potsdam, Stadt;5402;1205400000008403;STIMMBEZIRK;Fahrland 03;8403;;;N;876;677;199;0;411;411;0;0;0;5;1215;205;70;9;53;18;4;3;4;3;10;4;10;2;8;7;110;32;8;10;12;0;1;24;2;5;0;7;5;3;1;97;66;3;2;4;4;8;1;4;3;1;1;;;;250;83;16;13;2;35;24;12;8;10;9;19;12;1;6;60;14;6;6;2;7;5;4;1;4;5;0;1;2;3;288;122;166;;;71;21;19;6;0;6;1;6;0;1;2;1;2;0;6;36;36;;58;30;13;4;3;8;;;;26;12;8;4;2;;;;;14;5;4;2;3;;;;;;;
54;Potsdam, Stadt;5401;1205400000002302;STIMMBEZIRK;Berliner Vorstadt 02;2302;;;N;1078;734;344;0;566;561;5;5;0;7;1673;298;125;59;13;21;13;12;7;6;6;2;2;8;4;20;281;96;48;25;10;18;6;21;5;11;8;4;21;6;2;111;13;10;16;5;10;13;10;11;2;7;4;3;6;1;302;157;26;8;20;12;6;7;17;19;4;8;1;13;4;161;44;14;7;5;16;45;1;5;12;0;5;2;1;4;170;106;64;;;180;88;22;7;23;16;2;8;3;1;0;0;7;0;3;21;21;;26;14;3;1;3;0;3;1;1;42;20;8;12;2;;;;;9;7;1;1;;;48;48;;24;24;
54;Potsdam, Stadt;5402;1205400000008501;STIMMBEZIRK;Neu Fahrland 01;8501;;;N;1377;1024;353;0;746;739;7;7;0;13;2189;356;131;45;79;17;6;6;6;10;15;10;22;5;0;4;285;73;53;32;23;9;27;19;2;7;10;14;5;8;3;103;44;9;2;12;6;4;10;1;8;6;1;;;;412;118;36;35;16;62;28;23;11;17;16;10;24;2;14;107;27;10;16;10;5;2;7;0;6;8;3;4;4;5;393;284;109;;;100;39;23;10;2;1;4;7;5;1;0;1;2;0;5;73;73;;229;158;30;16;19;6;;;;100;72;10;7;11;;;;;31;18;10;3;0;;;;;;;
54;Potsdam, Stadt;5401;1205400000004105;STIMMBEZIRK;Historische Innenstadt 05;4105;;;N;1248;928;320;0;641;640;1;1;0;14;1856;295;128;49;14;15;7;9;20;13;6;0;5;0;7;22;368;98;46;37;23;26;9;16;15;16;27;1;29;17;8;193;56;16;14;11;11;15;11;10;12;11;7;6;10;3;192;96;15;15;10;10;3;4;5;9;3;5;2;15;0;233;41;22;23;4;29;22;10;24;19;7;8;13;2;9;239;155;84;;;80;36;12;2;9;1;0;3;2;2;2;1;6;2;2;56;56;;31;10;8;5;5;0;0;0;3;57;38;7;7;5;;;;;18;14;2;2;;;69;69;;25;25;
54;Potsdam, Stadt;5402;1205400000009014;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9014;9014;;;N;0;0;0;0;522;0;522;0;0;0;1556;347;153;39;54;21;3;14;9;7;11;12;13;3;1;7;283;75;49;35;27;4;18;15;2;8;3;10;23;11;3;152;44;24;6;23;9;18;11;1;10;5;1;;;;287;75;13;19;33;56;22;6;5;11;19;12;5;3;8;131;47;10;8;16;1;3;10;1;14;8;2;1;4;6;97;72;25;;;93;20;22;5;6;1;2;7;1;15;0;3;3;0;8;44;44;;42;22;7;4;7;2;;;;22;11;2;0;9;;;;;58;13;15;8;22;;;;;;;
54;Potsdam, Stadt;5401;1205400000004401;STIMMBEZIRK;Hauptbahnhof und Brauhausberg Nord 01;4401;;;N;923;662;261;0;308;308;0;0;0;5;901;178;50;39;7;5;10;6;12;1;21;6;7;4;4;6;131;21;18;11;15;13;6;5;5;1;4;1;22;9;0;108;35;16;10;3;4;12;7;6;1;4;2;4;2;2;118;38;5;3;10;12;8;5;2;9;3;6;9;6;2;80;22;6;6;5;11;4;1;1;9;2;2;5;1;5;145;82;63;;;28;7;5;0;4;0;0;1;1;2;3;1;1;0;3;18;18;;20;6;5;3;1;1;1;0;3;28;16;1;7;4;;;;;15;12;1;2;;;25;25;;7;7;
54;Potsdam, Stadt;5402;1205400000009016;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9016;9016;;;N;0;0;0;0;602;0;602;0;0;1;1770;426;187;51;63;27;7;11;15;15;4;6;25;1;2;12;310;81;59;43;34;1;13;17;0;13;3;16;17;10;3;124;49;17;2;13;18;8;8;4;3;2;0;;;;357;61;24;33;73;40;26;18;11;4;25;11;22;2;7;145;38;13;8;20;4;6;7;2;16;14;3;1;4;9;140;110;30;;;111;33;14;2;6;4;3;22;4;2;0;1;13;0;7;34;34;;52;25;14;1;5;7;;;;40;18;8;6;8;;;;;31;15;9;2;5;;;;;;;
54;Potsdam, Stadt;5401;1205400000004403;STIMMBEZIRK;Hauptbahnhof und Brauhausberg Nord 03;4403;;;N;1127;784;343;0;544;538;6;6;0;9;1603;221;88;34;11;14;10;10;11;2;4;0;12;3;5;17;256;72;41;35;13;21;11;9;4;6;17;7;15;3;2;114;25;10;14;10;9;7;5;4;1;6;9;7;7;0;173;67;18;7;15;10;5;1;3;10;5;8;6;16;2;429;62;38;29;8;60;27;9;29;71;17;6;34;20;19;123;67;56;;;33;12;3;1;6;2;3;4;0;0;2;0;0;0;0;54;54;;42;12;11;5;4;1;2;4;3;48;27;5;11;5;;;;;21;16;3;2;;;67;67;;22;22;
54;Potsdam, Stadt;5402;1205400000009017;BRIEFWAHLBEZIRK;Potsdam Briefwahlbezirk 9017;9017;;;N;0;0;0;0;591;0;591;0;0;3;1678;429;187;56;49;31;3;15;9;14;9;9;34;2;1;10;323;62;65;42;37;5;12;18;10;10;1;20;17;22;2;184;56;28;8;19;21;13;24;2;7;5;1;;;;238;65;21;10;24;43;20;9;6;5;19;2;8;3;3;216;52;15;18;33;7;10;10;3;17;26;2;2;14;7;96;77;19;;;68;26;7;7;0;1;3;7;2;4;0;0;6;0;5;13;13;;62;39;6;6;4;7;;;;25;3;9;3;10;;;;;24;3;9;8;4;;;;;;;
