Nr;Wahlkreis;Name;Wahlb. insges.;Wähler;Ungült. Erststimmen;Gültige Erststimmen;Sozialdemokratische Partei Deutschlands;Christlich Demokratische Union Deutschlands;DIE LINKE;Alternative für Deutschland;BÜNDNIS 90/DIE GRÜNEN;Brandenburger Vereinigte Bürgerbewegungen / Freie Wähler;Piratenpartei Deutschland;Freie Demokratische Partei;Ökologisch-Demokratische Partei;PARTEI MENSCH UMWELT TIERSCHUTZ;V-Partei³ – Partei für Veränderung, Vegetarier und Vega;Einzelbewerber Charnow;Einzelbewerberin Ennullat;Einzelbewerber Fuhl;Einzelbewerber Hoffmann;Einzelbewerber Müller;Deutsche Kommunistische Partei;DEUTSCHE KONSERVATIVE;Einzelbewerber Herbig;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Einzelbewerber Respa;Sonstige
1306;0019;Bornstedt - Hermann-Mattern-Promenade;1050;696;3;693;244;127;48;49;183;10;0;29;0;0;0;0;0;0;0;3;0;0;0;0;0;0
1601;0019;Grube;345;210;5;205;52;46;17;36;43;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8401;0019;Fahrland - V.-Stechow-Str./Rotkehlchenwe;809;421;4;417;120;85;48;82;37;18;0;25;0;0;0;0;0;0;0;2;0;0;0;0;0;0
8501;0019;Neu Fahrland;1281;671;4;667;159;144;79;124;106;30;0;24;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8601;0019;Groß Glienicke - Glienicker Dorfstr.;670;316;1;315;67;82;20;50;65;18;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8604;0019;Groß Glienicke - An der Kirche;917;377;5;372;103;55;42;81;53;25;0;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9034;0019;Potsdam Briefwahlbezirk 9034;0;537;3;534;150;100;57;64;125;20;0;16;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1202;0019;Schwielowsee, OT Caputh, Mehrzweckraum;1495;802;7;795;189;115;66;129;144;118;0;31;0;0;0;0;0;0;0;3;0;0;0;0;0;0
1504;0019;Werder (Havel), Karl-Hagemeister-Grundsc;900;435;4;431;121;111;38;77;50;17;0;13;0;0;0;0;0;0;0;4;0;0;0;0;0;0
1507;0019;Werder (Havel), Zur alten Weberei/Angler;1054;559;4;555;138;114;44;112;94;23;0;26;0;0;0;0;0;0;0;4;0;0;0;0;0;0
1506;0019;Werder (Havel), Kita Eichenhof;989;432;5;427;112;98;47;56;57;31;0;19;0;0;0;0;0;0;0;7;0;0;0;0;0;0
1511;0019;Werder (Havel), Carl-von-Ossietzky-Obers;1148;544;9;535;110;145;66;105;52;32;0;23;0;0;0;0;0;0;0;2;0;0;0;0;0;0
1523;0019;Werder (Havel), OT Kemnitz, Gemeindezent;288;160;1;159;41;37;11;38;12;14;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9014;0019;Werder (Havel), Briefwahlbezirk III;0;670;7;663;163;171;97;93;63;43;0;24;0;0;0;0;0;0;0;9;0;0;0;0;0;0
2102;0021;Nauener Vorstadt - Neuer Garten;997;500;2;498;134;72;36;41;168;16;0;22;0;0;0;0;0;0;0;0;0;0;0;9;0;0
2101;0021;Nauener Vorstadt - Bertiniweg/Glumestr.;1076;553;5;548;131;136;49;53;127;12;0;33;0;0;0;0;0;0;0;0;0;0;0;7;0;0
3102;0021;Brandenburger Vorstadt - Feuerbachstr.;1053;531;2;529;120;46;89;43;197;8;0;16;0;0;0;0;0;0;0;0;0;0;0;10;0;0
2302;0021;Berliner Vorstadt - Schiffbauergasse;1036;558;3;555;150;103;56;44;143;13;0;37;0;0;0;0;0;0;0;0;0;0;0;9;0;0
3107;0021;Brandenburger Vorstadt - Schillerplatz;1209;657;8;649;246;49;93;101;121;15;0;10;0;0;0;0;0;0;0;0;0;0;0;14;0;0
3202;0021;Potsdam West - Haeckelstr.;1177;590;4;586;185;45;148;84;77;18;0;13;0;0;0;0;0;0;0;0;0;0;0;16;0;0
4104;0021;Innenstadt - Wall am Kiez/Luisenplatz;985;509;6;503;132;55;68;52;149;11;0;18;0;0;0;0;0;0;0;0;0;0;0;18;0;0
3203;0021;Potsdam West - An der Pirschheide;1159;584;8;576;163;67;111;48;141;8;0;20;0;0;0;0;0;0;0;0;0;0;0;18;0;0
5205;0021;Babelsberg Nord - Weberplatz/Alt Nowawes;1229;707;5;702;205;56;108;56;214;15;0;26;0;0;0;0;0;0;0;0;0;0;0;22;0;0
5208;0021;Babelsberg Nord - Goetheplatz;1140;705;6;699;190;94;85;60;209;20;0;25;0;0;0;0;0;0;0;0;0;0;0;16;0;0
5301;0021;Babelsberg Süd - Neuendorfer Anger;1150;617;2;615;181;62;112;58;137;25;0;24;0;0;0;0;0;0;0;0;0;0;0;16;0;0
5307;0021;Babelsberg Süd - An den Windmühlen;1054;541;1;540;123;61;95;78;117;14;0;22;0;0;0;0;0;0;0;0;0;0;0;30;0;0
5306;0021;Babelsberg Süd - Marlene-Dietrich-Allee;1097;576;1;575;146;84;63;37;199;11;0;20;0;0;0;0;0;0;0;0;0;0;0;15;0;0
9049;0021;Potsdam Briefwahlbezirk 9049;0;499;3;496;110;55;68;35;168;19;0;15;0;0;0;0;0;0;0;0;0;0;0;26;0;0
1303;0019;Bornstedt - Am Krongut/Katharinenholzstr;1150;617;2;615;159;119;51;69;176;19;0;18;0;0;0;0;0;0;0;4;0;0;0;0;0;0
9042;0021;Potsdam Briefwahlbezirk 9042;0;749;4;745;157;196;51;56;186;20;0;60;0;0;0;0;0;0;0;0;0;0;0;19;0;0
8201;0019;Marquardt;976;552;8;544;167;64;79;113;77;22;0;20;0;0;0;0;0;0;0;2;0;0;0;0;0;0
9056;0021;Potsdam Briefwahlbezirk 9056;0;503;3;500;129;57;80;23;164;20;0;14;0;0;0;0;0;0;0;0;0;0;0;13;0;0
8404;0019;Fahrland - Kietzer Str./Pastor-Moritz-St;1162;445;3;442;100;68;68;99;51;30;0;22;0;0;0;0;0;0;0;4;0;0;0;0;0;0
9046;0021;Potsdam Briefwahlbezirk 9046;0;726;9;717;175;62;198;68;151;13;0;28;0;0;0;0;0;0;0;0;0;0;0;22;0;0
1503;0019;Eiche - Altes Rad West/Lindstedter Str.;1190;641;6;635;205;112;76;89;116;20;0;15;0;0;0;0;0;0;0;2;0;0;0;0;0;0
9048;0021;Potsdam Briefwahlbezirk 9048;0;608;2;606;151;120;76;40;151;16;0;30;0;0;0;0;0;0;0;0;0;0;0;22;0;0
9031;0019;Potsdam Briefwahlbezirk 9031;0;543;8;535;144;133;69;48;80;38;0;17;0;0;0;0;0;0;0;6;0;0;0;0;0;0
4201;0022;Zentrum Ost - Humboldtring/Babelsb. Str.;1094;530;4;526;140;49;91;71;114;17;0;23;0;0;0;2;0;0;0;0;1;0;0;18;0;0
1702;0019;Golm - Geiselbergstr./Am Mühlenberg;1004;561;6;555;141;135;61;90;84;31;0;11;0;0;0;0;0;0;0;2;0;0;0;0;0;0
9055;0021;Potsdam Briefwahlbezirk 9055;0;630;6;624;150;120;75;29;189;13;0;33;0;0;0;0;0;0;0;0;0;0;0;15;0;0
