Name,Bezirksnummer
Schlaatz - H.-Muthesius-Str./Binsenhof,6304.0
Stern - Otto-Hahn-Ring,7110.0
Schlaatz - Inselhof/Bisamkiez,6305.0
Drewitz - Willy-A.-Kleinau-Weg,7205.0
Stern - Leibnizring,7108.0
Schlaatz - Erlenhof,6303.0
Drewitz - Paul-Wegener-Str./Priesterweg,7203.0
Drewitz - Sterncenter/Erich-Pommer-Str.,7202.0
Waldstadt II - Kiefernring/Sonnentaustr.,6503.0
Schlaatz - Sperberhorst,6301.0
Waldstadt II - Ginsterweg,6502.0
Waldstadt II - Am Springbruch,6505.0
Fahrland - Kietzer Str./Pastor-Moritz-St,8404.0
Stern - Johannes-Kepler-Platz/Chopinstr.,7106.0
Bornstedt - Reiherweg/David-Gilly-Str.,1308.0
Innenstadt - Alter Markt/Wall am Kiez,4106.0
Brandenburger Vorstadt - Luisenplatz,3101.0
Eiche - Kaiser-Friedrich-Str. Süd,1502.0
Waldstadt II - Zum Kahleberg,6501.0
Stern - Lilienthalstr.,7102.0
Innenstadt - Hans-Thoma-Str./Türckstr.,4103.0
Waldstadt I - Käthe-Kollwitz-Str.,6401.0
Waldstadt I -Am Stadtrand/Industriegelän,6402.0
Innenstadt - Bassinplatz,4109.0
Berliner Vorstadt - Ludwig-Richter-Str.,2301.0
"Werder (Havel), Gymnasium I",1502.0
Waldstadt I - Bertolt-Brecht-Str.,6404.0
Kirchsteigfeld - Eleonore-Prochaska-Str.,7301.0
Kirchsteigfeld - Priesterweg,7302.0
Fahrland - Kartzower Dorfstr.,8402.0
Stern - Parforceheide,7105.0
Innenstadt - Kurfürstenstr.,4102.0
Bornstedt - Stechlinweg,1305.0
Potsdam West - An der Pirschheide,3203.0
Innenstadt - Burgstr.,4107.0
Groß Glienicke - Glienicker Dorfstr.,8601.0
Waldstadt I - Bernhard-Kellermann-Str.,6403.0
Stern - Jagdhausstr./Eulenkamp,7111.0
"Templiner Vorstadt, Forst Potsdam Süd",6101.0
Stern - Fichtenallee/Im Schäferfeld,7103.0
Waldstadt II - Moosglöckchenweg,6507.0
Babelsberg Süd - Dianastr./Sandscholle,5305.0
Nauener Vorstadt - Neuer Garten,2102.0
Bornstedt - A.-Wolff-Platz/E.-Arendt-Str,1309.0
Nauener Vorstadt - Bertiniweg/Glumestr.,2101.0
Bornstedt - Jakob-von-Gundling-Str.,1307.0
Innenstadt - Wall am Kiez/Luisenplatz,4104.0
Potsdam West - Knobelsdorffstr.,3204.0
Kirchsteigfeld - Pierre-de-Gayette-Str.,7304.0
Fahrland - V.-Stechow-Str./Rotkehlchenwe,8401.0
Stern - Musikerviertel,7101.0
Potsdam West - Geschwister-Scholl-Str.,3201.0
Stern - Kohlhasenbrücker Str.,7113.0
Potsdam West - Haeckelstr.,3202.0
Bornim - Max-Eyth-Allee/Lerchensteig,1101.0
Jägervorstadt - Am Ruinenberg,2201.0
Babelsberg Süd - Paul-Neumann-Str.,5304.0
Brandenburger Vorstadt - Clara-Zetkin-S.,3103.0
Brandenburger Vorstadt - Auf dem Kiewitt,3104.0
Babelsberg Nord - Rathaus/Humboldtbrücke,5207.0
Drewitz - Alt Drewitz/Am Silbergraben,7201.0
Brandenburger Vorstadt - Schillerplatz,3107.0
Stern - In der Aue/Gluckstr.,7104.0
Jägervorstadt - Am Weinberg/Ulanenweg,2202.0
Neu Fahrland,8501.0
"Nedlitz, Bornstedt - Viereckremise",1301.0
Bornstedt - Am Krongut/Katharinenholzstr,1303.0
Babelsberg Süd - An den Windmühlen,5307.0
Innenstadt - Schopenhauerstr./Jägerallee,4101.0
Eiche - Altes Rad Ost,1501.0
Teltower Vorstadt - Kolonie Daheim,6201.0
Teltower Vorstadt - Kunersdorfer Str.,6202.0
Eiche - Altes Rad West/Lindstedter Str.,1503.0
Innenstadt - Yorckstr.,4105.0
Brandenburger Vorstadt - Feuerbachstr.,3102.0
Berliner Vorstadt - Schiffbauergasse,2302.0
"Werder (Havel), Gymnasium II",1503.0
Golm - Ehrenpfortenbergstr.,1701.0
Babelsberg Nord - Klein Glienicke,5201.0
Bornstedt - Kirschallee/Thaerstr.,1304.0
Babelsberg Nord - Karl-Marx-Str./Donarst,5202.0
Golm - Geiselbergstr./Am Mühlenberg,1702.0
Babelsberg Süd - Marlene-Dietrich-Allee,5306.0
"Werder (Havel), Traumfänger",1501.0
Groß Glienicke - Bullenwinkel/Braumannwe,8602.0
Innenstadt - Brandenburger Str. Nord,4108.0
